urls,phishing,domain,ip,at,length_url,depth_url,double_slash,http_https,shortening_services,hyphen,dns,age_domain,end_period_domain,country
http://tunein.com/radio/News-957-s60243/15480783/ca-pub-1542925551861702/StationLeader,0,tunein.com,1,0,86,5,0,0,0,0,1,28.0,2025-05,France
http://atwiki.jp/wiki/%E3%81%95%E3%82%88%E3%81%AA%E3%82%89%E3%83%88%E3%83%AA%E3%83%83%E3%83%97,0,atwiki.jp,1,0,94,2,0,0,0,0,1,19.0,2024-12,India
https://dailymukti.com/sg/,1,dailymukti.com,0,0,26,2,0,0,0,0,0,2.0,2025-04,Argentina
http://seekingalpha.com/author/reuben-gregg-brewer/research?source=follow_top_learn_more,0,seekingalpha.com,1,0,88,3,0,0,0,0,1,19.0,2025-09,United_Kingdom
https://docs.google.com/presentation/d/e/2PACX-1vTHd-kz_Q7ZUlAlZBpVypENoMchGTZxBC67tAH8u1-gSxoYp1jmVQbAkDHlU29PddwIJ5yZZtwNk1HJ/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1,docs.google.com,1,0,190,5,0,0,0,0,1,26.0,2028-09,Russia
https://ipfs.io/ipfs/bafybeigz2nfvvj37pr5ou56322bvenih66iiqbp2a3bjqrrdgehkhyns2i,1,ipfs.io,1,0,80,2,0,0,0,0,1,10.0,2025-05,Mexico
https://docs.google.com/drawings/d/1cmcERcHbChctSAmmf5KFosTlJh00KJwIeF09oNPQTb8/edit,1,docs.google.com,1,0,84,4,0,0,0,0,1,26.0,2028-09,India
http://emgn.com/entertainment/man-receives-a-scam-text-and-sends-back-sweet-revenge/,0,emgn.com,0,0,84,3,0,0,0,0,0,20.0,2025-06,Canada
https://itau-info-py.webcindario.com/,1,itau-info-py.webcindario.com,1,0,37,1,0,0,0,1,1,23.0,2028-02,Netherlands
http://qz.com/402902/there-are-now-160-million-internet-users-in-the-arab-world-but-the-wrong-tweet-could-still-land-you-in-jail-in-many-countries/,0,qz.com,1,0,147,3,0,0,0,0,1,25.0,2026-03,China
https://pub-d21a489a645d4ca4853145d7a9c6196e.r2.dev/ausmailx.html,1,pub-d21a489a645d4ca4853145d7a9c6196e.r2.dev,1,0,65,1,0,0,0,1,1,2.0,2025-08,Netherlands
http://aljazeera.net/news/caricature/2015/5/11/%D9%83%D8%A7%D8%B1%D9%8A%D9%83%D8%A7%D8%AA%D9%8A%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A%D8%A9,0,aljazeera.net,1,0,223,6,0,0,0,0,1,28.0,2029-08,Brazil
http://superuser.com/questions/899825/after-upgrading-pc-my-computer-boots-up-inconsistently,0,superuser.com,1,0,92,3,0,0,0,0,1,28.0,2025-02,Argentina
https://docs.google.com/presentation/d/e/2PACX-1vTC6P7cLpkx8z-YEw6OuU2oSRgcl7nABZh3IY9OumifRTQ8hwqsn6ivVICOWgtoOKQvZJWpS8uAI3jA/pub?start=false&amp;loop=false&amp;delayms=3000,1,docs.google.com,1,0,175,5,0,0,0,0,1,26.0,2028-09,China
http://wikimapia.org/32988083/ar/%D9%85%D9%86%D8%B2%D9%84-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%A7%D8%B0-%D8%AD%D9%86%D9%81%D9%89-%D9%85%D8%AD%D9%85%D9%88%D8%AF-%D8%A7%D8%A8%D9%88-%D9%83%D8%B1%D9%8A%D9%85,0,wikimapia.org,1,0,200,3,0,0,0,0,1,18.0,2026-01,Germany
https://dwgojjom.one/,1,dwgojjom.one,1,0,21,1,0,0,0,0,1,0.0,2025-08,Germany
http://o1x.4734356.xyz/js/jquery-1.11.2.min.js,1,o1x.4734356.xyz,0,0,46,2,0,0,0,0,0,0.0,2025-08,United_States
https://via0.com/ipfs/QmY3sMP4NCuLh69oFiCrPpcsYYrW58cyZY6RBJiaXc3PsL,1,via0.com,1,0,68,2,0,0,0,0,1,7.0,2025-05,Belarus
http://allegro.pl/show_item.php?item=5264335296&sh_dwh_token=d0b6dd74a8394345128e20d296cb1c5e,0,allegro.pl,1,0,93,1,0,0,0,0,1,24.0,2024-10,Mexico
http://auto.ru/cars/bmw/4er/all/?search%5Bstate%5D=1&search%5Bperiod%5D=0&search%5Bcustom%5D=1&search%5Bsection_id%5D=0&search%5Bmark%5D%5B0%5D=30&search%5Bmark-folder%5D%5B0%5D=30-51950_3986,0,auto.ru,1,0,191,5,0,0,0,0,1,26.0,2024-11,Italy
https://pub-dd1f24eb7cd442e0b9a161c0e8868b75.r2.dev/index.html,1,pub-dd1f24eb7cd442e0b9a161c0e8868b75.r2.dev,1,0,62,1,0,0,0,1,1,2.0,2025-08,United_States
https://kiiucounilogin.gitbook.io/us,1,kiiucounilogin.gitbook.io,1,0,36,1,0,0,0,0,1,10.0,2025-03,Netherlands
https://cloudflare-ipfs.com/ipfs/bafybeihhl6v6ahuhbpbsaffarzbsridd5ft27wql6dd7ukhcw7woaxo5qi/?data=samples@sophos.com&amp;subf=Transport-Label.pdf&amp;file=Waybill.pdf,1,cloudflare-ipfs.com,1,1,167,3,0,0,0,1,1,6.0,2032-05,South_Africa
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E5%B7%A8%E4%B9%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2Fw53uAhGyPyVOgCDX+%E5%B7%A8%E4%B9%B3%E7%A4%BE%E9%95%B7%E7%A7%98%E6%9B%B8+%23ero+%23douga+%23agesage,0,twitter.com,1,0,236,1,0,0,0,0,1,24.0,2025-01,India
http://icicibank.com/wealth-management/offers/offer-detail.page?id=offer-tanya-rossi-offer-20150301135659369,0,icicibank.com,1,0,108,3,0,0,0,0,1,28.0,2026-07,Mexico
https://twitter.com/share?url=http%3A%2F%2Fhubpages.com%2Fhub%2FHow-to-Write-an-Evaluation-Review-essay&text=How+to+Write+an+Evaluation+Paper+with+Sample+Essays,0,twitter.com,1,0,160,1,0,0,0,0,1,24.0,2025-01,United_Kingdom
https://geemennilogii.gitbook.io/us,1,geemennilogii.gitbook.io,1,0,35,1,0,0,0,0,1,10.0,2025-03,China
https://docs.google.com/presentation/d/e/2PACX-1vTmfx5p58xq8SY-o-6d8w8NTtDtJp1Ie7rOnpOHUoA1xaBpd5wgNsZEwQXKed44PDTaC7R4QcLEJDZG/pub?start=false&amp;loop=false&amp;delayms=3000,1,docs.google.com,1,0,175,5,0,0,0,0,1,26.0,2028-09,Japan
https://tinyurl.com/4x7rtebt,1,tinyurl.com,1,0,28,1,0,0,1,0,1,22.0,2029-01,Argentina
http://cheezburger.com/70876929/video-game-news-guild-wars-2-guardian-elite-dragonhunter?ref=leftarrow&siteId=56831,0,cheezburger.com,1,0,115,2,0,0,0,0,1,18.0,2026-12,Italy
https://bafybeiapchcdc7q6yjdfpdnla7zpordsnj43kxb6b4nwm7gnnp72dt4l3y.ipfs.cf-ipfs.com/,1,bafybeiapchcdc7q6yjdfpdnla7zpordsnj43kxb6b4nwm7gnnp72dt4l3y.ipfs.cf-ipfs.com,1,0,85,1,0,0,0,1,1,5.0,2032-12,Mexico
